"inputfile","outputfile","vowel","interval","duration","start","end","previous_sound","next_sound","word","file","f0","duration.1","label","group","color","number","cutoff","f11","f21","f31","f12","f22","f32","f13","f23","f33","f14","f24","f34","f15","f25","f35"
"02_09_audio","02_09_audio_0074","é",247,0.1987124326,2414.699791,2414.898503,"h","7","nehé7en","02_09_audio_0074",250,0.198,"e2",7,"Magenta",141,7100,777,1546,2747,808,1524,2890,915,1625,2712,985,1683,2820,943,1744,2918
"01_26_audio","01_26_audio_0005","é",13,0.1077978577,76.78941646,76.89721432,"m","k","qeq̓iméke7","01_26_audio_0005",257.5,0.106,"e2",7,"Magenta",5,5150,658,1767,2639,801,1791,2519,877,1787,2620,789,1844,2749,705,1876,2724
"04_05_a_audio","04_05_a_audio_0047","e",180,0.2745847773,811.6786291,811.9532139,"l","-","Sesísle7 / a few (3) last word of clip","04_05_a_audio_0047",152.8,0.274,"e1",2,"Blue",701,4700,611,977,1635,723,1353,2375,876,1466,2432,1054,1498,2831,675,1575,2476
"04_27_audio","04_27_audio_0003","é",11,0.1165358087,688.9294384,689.0459742,"k","p","képkept - hurt (2) g","04_27_audio_0003",275,0.116,"e2",7,"Magenta",848,5300,609,1533,2596,758,1627,2632,869,1716,2647,894,1653,2482,696,1667,2892
"02_09_audio","02_09_audio_0083","é",273,0.1164558407,2476.35723,2476.473685,"h","e","penhé7e","02_09_audio_0083",220.7,0.116,"e2",7,"Magenta",150,5750,747,1900,3005,805,1921,2838,868,1830,2544,877,1771,2609,854,1723,2691
"04_13_audio","04_13_audio_0045","é",188,0.2342422711,1142.050222,1142.284464,"ts","p","xe7tsép","04_13_audio_0045",288.2,0.234,"e2",7,"Magenta",790,5750,493,1840,2782,790,1363,2874,866,1299,2801,653,1483,2728,632,1502,2714
"04_27_audio","04_27_audio_0005","é",19,0.1139658444,690.5635366,690.6775024,"k","p","képkept - hurt (3) g","04_27_audio_0005",270.9,0.112,"e2",7,"Magenta",850,5150,574,1105,2492,752,1700,2640,831,1692,2663,838,1693,2617,814,1696,2615
"04_27_audio","04_27_audio_0018","é",63,0.2480663781,1042.681764,1042.92983,"x","-","Xexé7 -smart (3) g","04_27_audio_0018",231.6,0.248,"e2",7,"Magenta",863,7550,723,1250,3195,750,1353,3376,828,1305,3038,792,1557,3312,809,1573,3030
"02_09_audio","02_09_audio_0037","é",137,0.1409236034,1031.802854,1031.943778,"7","n","ye7éne","02_09_audio_0037",219.5,0.14,"e2",7,"Magenta",104,7550,641,2021,2768,782,1933,2990,822,1874,3068,735,1815,3097,606,1735,3308
"02_09_audio","02_09_audio_0078","e",257,0.06795756938,2448.112785,2448.180742,"a","n","penhé7en","02_09_audio_0078",246.4,0.066,"e1",2,"Blue",145,5600,796,1777,2796,839,1763,3033,820,1795,3038,745,1802,3050,638,1787,3036
"04_13_audio","04_13_audio_0056","e",224,0.1965033648,1782.672409,1782.868913,"n","p","tenep","04_13_audio_0056",261.8,0.196,"e1",2,"Blue",801,5600,517,751,2075,702,1195,2051,811,1669,2635,738,1556,2684,737,1633,2880
"p2","p2_0061","á",198,0.1809174769,40.50764158,40.68855906,"7","-","cw7a7alken","p2_0061",237.8,0.18,"a2",7,"Magenta",61,5932,679,1125,2788,678,1149,2877,810,1153,3014,824,1173,3094,780,1171,3136
"01_26_audio","01_26_audio_0030","e",76,0.2665815267,3803.392109,3803.65869,"l","p","íxwle7p","01_26_audio_0030",266.7,0.266,"e1",2,"Blue",30,6650,614,1376,2747,776,1546,2895,805,1667,2855,775,1572,2918,685,1451,2954
"04_27_audio","04_27_audio_0016","é",58,0.2580433226,1040.896208,1041.154252,"x","-","Xexé7 -smart (2) g","04_27_audio_0016",252.8,0.258,"e2",7,"Magenta",861,6350,682,1223,3106,794,1460,2717,802,1523,2566,731,1442,2954,765,1457,2906
"02_09_audio","02_09_audio_0013","e",49,0.09925395995,483.9322307,484.0314846,"w","7","ntsétswe7","02_09_audio_0013",281.6,0.098,"e1",2,"Blue",80,6500,688,1054,2592,734,1097,2719,800,1263,2758,857,1336,2788,831,1366,2956
"04_05_b_audio","04_05_b_audio_0028","e",110,0.1261508517,797.4070999,797.5332507,"w","-","Cmegmgétkwe (alternative, warm water)(1)","04_05_b_audio_0028",174.4,0.126,"e1",2,"Blue",729,6650,639,1134,2890,696,1119,2867,800,1162,2856,815,1385,2735,874,1694,2739
"03_23_audio","03_23_audio_0003","á",11,0.2227231499,282.6476623,282.8703855,"p","q","paq - get caught in the act (3) e.g yiri7 es paq","03_23_audio_0003",239.8,0.222,"a2",1,"Red",576,6350,528,1092,2842,687,1096,2864,793,1157,3305,712,1125,3378,638,1165,3676
"02_09_audio","02_09_audio_0002","e",7,0.06265253409,90.39865646,90.461309,"w","7","ntsétswe7","02_09_audio_0002",209.7,0.062,"e1",2,"Blue",69,5600,693,1130,2663,725,1251,2659,792,1308,2651,775,1363,2747,771,1388,2774
"04_27_audio","04_27_audio_0014","é",53,0.2187863853,1038.394212,1038.612998,"x","-","Xexé7 -smart (1) g","04_27_audio_0014",246.4,0.218,"e2",7,"Magenta",859,7250,716,1313,3049,799,1439,3775,787,1451,3803,779,1386,3084,890,1485,2948
"02_09_audio","02_09_audio_0001","é",4,0.1480664059,90.0408029,90.18886931,"ts","ts","ntsétswe7","02_09_audio_0001",262.9,0.148,"e2",7,"Magenta",68,6050,405,2136,2884,637,2091,2839,786,1571,2692,783,1584,2839,654,2072,3159
"p2","p2_0057","á",187,0.1246114492,39.07538855,39.2,"7","7","cw7á7alken","p2_0057",246.8,0.124,"a2",7,"Magenta",57,7550,875,970,3771,808,1024,3739,786,1117,3681,794,1145,3699,880,992,3055
"01_26_audio","01_26_audio_0009","é",22,0.2237178017,1455.287994,1455.511712,"t","t","petetét","01_26_audio_0009",259.8,0.222,"e2",7,"Magenta",9,5450,575,1964,2864,752,1880,2819,785,1851,2863,747,1861,2925,741,1774,2894
"04_27_audio","04_27_audio_0033","e",111,0.08709950647,1145.149694,1145.236793,"x","x","Xexetsín - loud voice (3) g","04_27_audio_0033",224.3,0.086,"e1",2,"Blue",878,5750,767,1250,2863,821,1273,2895,784,1156,2922,690,1168,2926,616,1129,2867
"p2","p2_0186","é",567,0.1412815602,117.61,117.7512816,"m","7","mé7e","p2_0186",238.1,0.14,"e2",8,"Orange",186,6363,675,1077,2694,750,1343,2804,784,1649,2962,885,1671,2877,847,1658,2853
"01_26_audio","01_26_audio_0028","e",70,0.1813907873,3801.859375,3802.040766,"l","7","íxwle7p","01_26_audio_0028",266.9,0.18,"e1",2,"Blue",28,5450,565,1559,2812,705,1488,2758,783,1516,2710,796,1252,2679,813,1486,2805
"p2","p2_0064","á",210,0.1863249933,42.510777,42.69710199,"7","l","cw7álekwe","p2_0064",238.5,0.186,"a2",7,"Magenta",64,6363,784,1196,2809,736,1201,3366,782,1186,3235,767,1218,2967,750,1261,2926
"03_16_audio","03_16_audio_0043","ə1",146,0.06533474738,2212.424972,2212.490307,"w","7","qw7ep (3) sack","03_16_audio_0043",205.7,0.064,"b1",11,"Teal",541,5750,819,1384,2960,779,1475,2820,781,1487,2768,788,1566,2774,772,1582,2779
"p2","p2_0180","é",552,0.2,112.09,112.29,"m","7","mé7e","p2_0180",239.5,0.2,"e2",8,"Orange",180,7011,655,1535,2701,691,1399,2691,778,1383,2756,814,1517,2630,863,1569,3010
"03_02_audio","03_02_audio_0002","é",7,0.1453433192,859.8914743,860.0368176,"p","q","speqpéq","03_02_audio_0002",233.3,0.144,"e2",7,"Magenta",336,6500,663,1174,2773,736,1203,2745,777,1161,2811,723,1058,2778,622,1170,2775
"03_16_audio","03_16_audio_0044","é",148,0.2318643145,2212.576792,2212.808656,"7","p","qw7ep (3) sack","03_16_audio_0044",218.8,0.23,"e2",2,"Blue",542,5750,726,1613,2841,790,1525,2802,773,1629,2824,723,1405,2777,709,1273,2760
"03_16_audio","03_16_audio_0039","ə1",133,0.0373772912,2208.199728,2208.237105,"w","7","qw7ep (1) sack","03_16_audio_0039",193.4,0.036,"b1",11,"Teal",537,5600,749,1362,2696,762,1438,2709,768,1580,2804,765,1550,2864,771,1511,2888
"03_02_audio","03_02_audio_0004","é",15,0.1966018065,876.592863,876.7894648,"p","q","speqpéq","03_02_audio_0004",209.7,0.196,"e2",7,"Magenta",338,5900,587,1088,2636,712,1303,2816,765,1250,2745,584,1169,2616,758,1246,2682
